CPU_Usage,Memory_Usage,Bytes_Sent,Bytes_Recv,XMRig_Running
100.0,77.4,3654387,90797104,1
100.0,77.4,3654387,90797104,1
100.0,77.4,3654447,90797534,1
100.0,77.4,3654447,90797534,1
100.0,77.4,3654447,90797534,1
100.0,77.4,3654447,90797534,1
100.0,77.4,3654447,90797534,1
100.0,77.4,3654507,90797964,1
100.0,77.4,3654507,90797964,1
100.0,77.6,3654507,90797964,1
100.0,77.6,3654507,90797964,1
100.0,77.6,3654507,90797964,1
100.0,77.6,3654567,90798394,1
100.0,77.6,3654567,90798394,1
100.0,77.6,3654567,90798394,1
100.0,77.6,3654567,90798394,1
100.0,77.6,3654567,90798394,1
100.0,77.6,3654627,90798824,1
100.0,77.6,3654627,90798824,1
100.0,77.6,3654627,90798824,1
100.0,77.6,3654687,90798884,1
100.0,77.6,3654687,90798884,1
100.0,77.6,3654747,90799316,1
100.0,77.6,3654807,90799746,1
100.0,77.6,3654807,90799746,1
100.0,77.6,3654807,90799746,1
100.0,77.6,3654807,90799746,1
100.0,77.6,3654807,90799746,1
100.0,77.6,3654867,90800176,1
100.0,77.6,3654867,90800176,1
100.0,77.6,3654867,90800176,1
100.0,77.6,3654867,90800176,1
100.0,77.6,3654867,90800176,1
100.0,77.6,3654927,90800606,1
100.0,77.6,3654927,90800606,1
100.0,77.6,3654927,90800606,1
100.0,77.6,3654927,90800606,1
100.0,77.6,3654927,90800606,1
4.6,64.5,3655047,90800726,0
7.2,64.5,3655047,90800726,0
2.3,64.5,3655047,90800726,0
3.4,64.5,3655047,90800726,0
11.0,64.5,3655047,90800726,0
7.1,64.5,3655047,90800726,0
4.5,64.5,3655047,90800726,0
8.1,64.5,3655047,90800726,0
9.6,64.5,3655047,90800726,0
5.7,64.5,3655047,90800726,0
9.2,64.5,3655047,90800726,0
14.8,64.5,3655047,90800726,0
15.9,64.5,3655047,90800726,0
9.5,64.5,3655047,90800726,0
16.4,64.5,3655047,90800726,0
10.7,64.5,3655047,90800726,0
20.7,64.5,3655047,90800726,0
13.4,64.5,3655047,90800726,0
13.3,65.1,3655047,90800726,0
50.7,65.1,3655047,90800726,0
5.8,65.1,3655047,90800726,0
3.5,65.1,3655047,90800726,0
8.5,64.7,3655047,90800726,0
7.0,64.7,3655047,90800726,0
4.4,64.7,3655047,90800726,0
9.3,64.7,3655047,90800726,0
6.8,64.7,3655047,90800726,0
7.9,64.3,3655047,90800726,0
9.3,64.3,3655047,90800726,0
6.7,64.3,3655047,90800726,0
3.3,64.3,3655047,90800726,0
4.4,64.3,3655047,90800726,0
5.7,64.3,3655047,90800726,0
4.7,64.3,3655047,90800726,0
3.3,64.3,3655047,90800726,0
5.7,64.3,3655047,90800726,0
7.0,64.3,3655047,90800726,0
3.4,64.1,3655047,90800726,0
7.1,64.1,3655047,90800726,0
8.0,64.1,3655047,90800726,0
4.5,64.1,3655047,90800726,0
4.5,64.1,3655047,90800726,0
5.7,64.1,3655047,90800726,0
5.4,64.1,3655047,90800726,0
4.5,64.2,3655047,90800726,0
6.7,64.2,3655047,90800726,0
4.5,64.2,3655047,90800726,0
